element	attr	description	component	animatable	value	value.def
glyph	vert-origin-xy	vert-origin-xy =v is equivalent to  vert-origin-x=v[1], vert-origin-y=v[2]	vert-origin-x|vert-origin-y	no.	<numeric>[2]	Sets the position of the glyph-origin of the glyph element, which is  to be used  when renderingr vertically oriented text. Default is c( font-origin-x, font-origin-y).
missing-glyph	vert-origin-xy	vert-origin-xy =v is equivalent to  vert-origin-x=v[1], vert-origin-y=v[2]	vert-origin-x|vert-origin-y	no.	<numeric>[2]	Sets the position of the glyph-origin of the missing.glyph element, which is to be used  when renderingr vertically oriented text. Default is c( font-origin-x, font-origin-y).
altGlyph	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2,N]	Specifies a sequence of xy-coordinates  to be applied to  the first n glyphs of the **altGlyph** element as the columns of a 2xn matrix.  The first row contains the x-coordinates, the second row the y-coordinates.    Alternatively one may specify the coordinates with the value as c(x1,y1, ...xN,yN). Again, these coordinates are absolute and are applied sequentially starting with the first character.
cursor	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position the precise position of the point which the cursor is pointing to. The default is c(0,0).
filter	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y		<coordinate>[2]	Sets the position of the top-left corner of the filter effects region.
feBlend	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feColorMatrix	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feComponentTransfer	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feComposite	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feConvolveMatrix	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feDiffuseLighting	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feDisplacementMap	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feFlood	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feGaussianBlur	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feImage	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feMerge	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feMorphology	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feOffset	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feSpecularLighting	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feTile	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
feTurbulence	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the filter primitive subregion.
foreignObject	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of the target region. The target region is a rectangular region where the foreign object is to be placed.  Default is c(0,0).
glyphRef	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	no.	<coordinate>[2]	Sets the absolute position for this glyph  within the font's coordinate system for this glyph. 
image	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner  of the target region. The target region is a rectangular region where the image is to be placed. Default is c(0,0).
mask	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position the top-left corner of the masking region (where the offscreen buffer results are placed).  . The default is c((-10%,-10%)).
pattern	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of  the reference pattern to be tiled. Default is c(0,0).
rect	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner  of the rectangle.  Default is c(0,0).
svg	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the position of the top-left corner of where the svg is to be placed. This has no effect on the outermost svg (such as svgR) and applies only to inner svg elements. The default is c(0,0).
tref	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2,N]	Specifies a sequence of xy-coordinates  to be applied to  the first n glyphs of the **tref** element as the columns of a 2xn matrix.  The first row contains the x-coordinates, the second row the y-coordinates.    Alternatively one may specify the coordinates with the value as c(x1,y1, ...xN,yN). Again, these coordinates are absolute and are applied sequentially starting with the first character.
tspan	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2,N]	Specifies a sequence of xy-coordinates  to be applied to  the first n glyphs of the **tspan** element as the columns of a 2xn matrix.  The first row contains the x-coordinates, the second row the y-coordinates.    Alternatively one may specify the coordinates with the value as c(x1,y1, ...xN,yN). Again, these coordinates are absolute and are applied sequentially starting with the first character.
text	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2,N]	Specifies a sequence of xy-coordinates  to be applied to  the first n characters of the **text** element as the columns of a 2xn matrix.  The first row contains the x-coordinates, the second row the y-coordinates.    Alternatively one may specify the coordinates with the value as c(x1,y1, ...xN,yN). Again, these coordinates are absolute and are applied sequentially starting with the first character.
use	xy	xy =v is equivalent to  x=v[1], y=v[2]	x|y	yes.	<coordinate>[2]	Sets the top-left corner of  the rectangular region into which the referenced element is placed. Default is c(0,0).
fePointLight	xyz	xyz =v is equivalent to  x=v[1], y=v[2], z=v[3]	x|y|z	yes.	<coordinate>[3]	Sets the  location (x,y,z) of the point light source in the coordinate system established by attribute primitiveUnits on the filter element. Default is c(0,0,0).
feSpotLight	xyz	xyz =v is equivalent to  x=v[1], y=v[2], z=v[3]	x|y|z	yes.	<coordinate>[3]	Sets the  location (x,y,z) of the spot light source in the coordinate system established by attribute primitiveUnits on the filter element. Default is c(0,0,0).
line	x12	x12 =v is equivalent to  x1=v[1], x2=v[2]	x1|x2	yes.	<coordinate>[2]	Sets the starting and ending  x-coordinates of the line segment.  Default is c(0,0).
line	xy1	xy1 =v is equivalent to  x1=v[1], y1=v[2]	x1|y1	yes.	<coordinate>[2]	Sets the starting point (aka from point) defining the line segment. Default is c(0,0)
linearGradient	x12	x12 =v is equivalent to  x1=v[1], x2=v[2]	x1|x2	yes.	<coordinate>[2]	Sets the  x-coordinates of starting and ending  points of the gradient-line-segment ( aka. Gradient line vector) for the linear gradient. The gradient stops are mapped onto the gradient-line-segment with the 0% stop mapping to the starting point, and the 100% stop mapping to the endding point. Default is c(0%,100%).
linearGradient	xy1	xy1 =v is equivalent to  x1=v[1], y1=v[2]	x1|y1	yes.	<coordinate>[2]	Sets the starting point of the gradient-line-segment ( aka. Gradient line vector) for the linear gradient. The gradient stops are mapped onto the gradient-line-segment with the 0% stop mapping to the starting point, and the 100% stop mapping to the endding point. Default is c(0,0).
line	xy2	xy2 =v is equivalent to  x2=v[1], y2=v[2]	x2|y2	yes.	<coordinate>[2]	Sets the ending point (aka the to  point) defining the line segment. Default is c(0,0)
linearGradient	xy2	xy2 =v is equivalent to  x2=v[1], y2=v[2]	x2|y2	yes.	<coordinate>[2]	Sets the ending point of the gradient-line-segment ( aka. Gradient line vector) for the linear gradient. The gradient stops are mapped onto the gradient-line-segment with the 0% stop mapping to the starting point, and the 100% stop mapping to the endding point. Default is c(100%,0%).
line	y12	y12 =v is equivalent to  y1=v[1], y2=v[2]	y1|y2	yes.	<coordinate>[2]	Sets the starting and ending  y-coordinates of the line segment.  Default is c(0,0).
linearGradient	y12	y12 =v is equivalent to  y1=v[1], y2=v[2]	y1|y2	yes.	<coordinate>[2]	Sets the  y-coordinates of starting and ending  points of the gradient-line-segment ( aka. Gradient line vector) for the linear gradient. The gradient stops are mapped onto the gradient-line-segment with the 0% stop mapping to the starting point, and the 100% stop mapping to the endding point. Default is c(0,0).
feTurbulence	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feConvolveMatrix	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feDiffuseLighting	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feOffset	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
filter	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter effects region to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feBlend	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feColorMatrix	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feComponentTransfer	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feComposite	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feDisplacementMap	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feFlood	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feGaussianBlur	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feImage	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feMerge	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feMorphology	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feSpecularLighting	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
feTile	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the position of the filter primitive subregion to have the given point as its center. Equivalent to \code{xycxy-wh/2}.
svg	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of a non-outer  **svg**  element to be the given of x-y-coordinate vector.  That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}. Has no effect on the outermost **svg** (**svgR**).
foreignObject	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the placement of the foreignObject such that its centerd at  the given point. Equivalent to \code{xycxy-wh/2}.
image	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the  **image**  element to be the given of x-y-coordinate vector.  That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}.
mask	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the  **mask**  to be the given of x-y-coordinate vector.  That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}.
pattern	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the  *pattern-tile*  to be the given of x-y-coordinate vector.   That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}. Repeating the  *pattern-tile* provides pattern effect, and the centering provides control of the alignment.
rect	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the  **rect**  element to be the given of x-y-coordinate vector.  That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}.
use	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the element referenced by **use** given by the vector of x-y-coordinates. That is, given the width and height, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}.
text	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the  **text**  element to be the given of x-y-coordinate vector.  That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}.
textPath	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the  **textPath**  element to be the given of x-y-coordinate vector.  That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}.
tspan	cxy	coordinates of center	x|y	yes	<coordinate>[2]	Sets the center of the  **tSpan**  element to be the given of x-y-coordinate vector.  That is, given the *width* and *height*, the placement  is adjusted to insure centering about the given vector. This is equivalent to \code{xycxy-wh/2}.
linearGradient	colors	a sequence of colors	stop	yes	<color>[N]	Specifies a sequence of colors expressed as a vector for the linearGradient. If no stop sequence is specified, the stops are equally spaced.
