element,attrAdj,component,equivalence,animatable,value,value.def
feSpecularLighting,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feTile,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feTurbulence,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
foreignObject,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.
image,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.
mask,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the largest possible offscreen buffer. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '120' were specified."
pattern,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"See 'x'. A negative value is an error (see Error processing). A value of zero disables rendering of the element (i.e., no paint is applied). If the attribute is not specified, the effect is as if a value of zero were specified."
rect,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangle. A negative value is an error (see Error processing). A value of zero disables rendering of the element.
svg,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"For outermost svg elements, the intrinsic height of the SVG document fragment. For embedded 'svg' elements, the height of the rectangular region into which the 'svg' element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '100' were specified."
use,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangular region into which the referenced element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of this element.
font,horiz-origin-xy,horiz-origin-x|horiz-origin-y,"horiz-origin-xy =v is equivalent to  horiz-origin-x=v[1], horiz-origin-y=v[2]",no.,<number>,"The X.coordinate in the font coordinate system of the origin of a glyph to be used when drawing horizontally oriented text. (Note that the origin applies to all glyphs in the font.) If the attribute is not specified, the effect is as if a value of '0' were specified."
feBlend,in12,in|in2,"in12 =v is equivalent to  in=v[1], in2=v[2]",,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feBlend,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feColorMatrix,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feComponentTransfer,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feComposite,in12,in|in2,"in12 =v is equivalent to  in=v[1], in2=v[2]",,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feComposite,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feConvolveMatrix,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feDiffuseLighting,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feDisplacementMap,in12,in|in2,"in12 =v is equivalent to  in=v[1], in2=v[2]",,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feDisplacementMap,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feGaussianBlur,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feMorphology,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feOffset,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feSpecularLighting,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feTile,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feComposite,k1234,k1|k2|k3|k4,"k1234 =v is equivalent to  k1=v[1], k2=v[2], k3=v[3], k4=v[4]",yes.,<number>,"Only applicable if operator=""arithmetic"". If the attribute is not specified, the effect is as if a value of 0 were specified."
feSpotLight,pointsAtXYZ,pointsAtX|pointsAtY|pointsAtZ,"pointsAtXYZ =v is equivalent to  pointsAtX=v[1], pointsAtY=v[2], pointsAtZ=v[3]",yes.,<number>,"X location in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element of the point at which the light source is pointing. If the attribute is not specified, then the effect is as if a value of 0 were specified."
marker,refXY,refX|refY,"refXY =v is equivalent to  refX=v[1], refY=v[2]",yes.,<coordinate>,"The x.axis coordinate of the reference point which is to be aligned exactly at the marker position. The coordinate is defined in the coordinate system after application of the 'viewBox' and 'preserveAspectRatio' attributes. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
ellipse,rxy,rx|ry,"rxy =v is equivalent to  rx=v[1], ry=v[2]",yes.,<length>,The x.axis radius of the ellipse. A negative value is an error (see Error processing). A value of zero disables rendering of the element.
rect,rxy,rx|ry,"rxy =v is equivalent to  rx=v[1], ry=v[2]",yes.,<length>,"For rounded rectangles, the x.axis radius of the ellipse used to round off the corners of the rectangle. A negative value is an error (see Error processing). See the notes below about what happens if the attribute is not specified."
feConvolveMatrix,targetXY,targetX|targetY,"targetXY =v is equivalent to  targetX=v[1], targetY=v[2]",yes.,<integer>,"Determines the positioning in X of the convolution matrix relative to a given target pixel in the input image. The leftmost column of the matrix is column number zero. The value must be such that. 0 <= targetX < orderX. By default, the convolution matrix is centered in X over each pixel of the input image (i.e., targetX = floor ( orderX / 2 ))."
hkern,u12,u1|u2,"u12 =v is equivalent to  u1=v[1], u2=v[2]",no.,"[<character> | <urange> ] [, [<character> | <urange>] ]*","A sequence (comma.separated) of Unicode characters (refer to the description of the 'unicode' attribute to the 'glyph' element for a description of how to express individual Unicode characters) and/or ranges of Unicode characters (see description of ranges of Unicode characters in CSS2; [CSS2], section 15.3.3) which identify a set of possible first glyphs in the kerning pair. If a given Unicode character within the set has multiple corresponding 'glyph' elements (i.e., there are multiple 'glyph' elements with the same 'unicode' attribute value, but different 'glyph.name' values), then all such glyphs are included in the set. Comma is the separator character; thus, to kern a comma, specify the comma as part of a range of Unicode characters or as a glyph name using the 'g1' attribute. The total set of possible first glyphs in the kerning pair is the union of glyphs specified by the 'u1' and 'g1' attributes."
vkern,u12,u1|u2,"u12 =v is equivalent to  u1=v[1], u2=v[2]",no.,"[<character> | <urange> ] [, [<character> | <urange>] ]*","A sequence (comma.separated) of Unicode characters (refer to the description of the 'unicode' attribute to the 'glyph' element for a description of how to express individual Unicode characters) and/or ranges of Unicode characters (see description of ranges of Unicode characters in CSS2; [CSS2], section 15.3.3) which identify a set of possible first glyphs in the kerning pair. If a given Unicode character within the set has multiple corresponding 'glyph' elements (i.e., there are multiple 'glyph' elements with the same 'unicode' attribute value, but different 'glyph.name' values), then all such glyphs are included in the set. Comma is the separator character; thus, to kern a comma, specify the comma as part of a range of Unicode characters or as a glyph name using the 'g1' attribute. The total set of possible first glyphs in the kerning pair is the union of glyphs specified by the 'u1' and 'g1' attributes."
font,vert-origin-xy,vert-origin-x|vert-origin-y,"vert-origin-xy =v is equivalent to  vert-origin-x=v[1], vert-origin-y=v[2]",no.,<number>,"The default X.coordinate in the font coordinate system of the origin of a glyph to be used when drawing vertically oriented text. If the attribute is not specified, the effect is as if the attribute were set to half of the effective value of attribute 'horiz.adv.x'."
glyph,vert-origin-xy,vert-origin-x|vert-origin-y,"vert-origin-xy =v is equivalent to  vert-origin-x=v[1], vert-origin-y=v[2]",no.,<number>,"The X.coordinate in the font coordinate system of the origin of the glyph to be used when drawing vertically oriented text. If the attribute is not specified, the effect is as if the attribute were set to the value of the font's 'vert.origin.x' attribute."
missing-glyph,vert-origin-xy,vert-origin-x|vert-origin-y,"vert-origin-xy =v is equivalent to  vert-origin-x=v[1], vert-origin-y=v[2]",no.,<number>,"The X.coordinate in the font coordinate system of the origin of the glyph to be used when drawing vertically oriented text. If the attribute is not specified, the effect is as if the attribute were set to the value of the font's 'vert.origin.x' attribute."
altGlyph,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<list.of.coordinates>,"The <coordinate> values are processed in the same manner as the 'x' attribute on the 'tspan' element, with the following exception. If the referenced alternate glyphs are rendered instead of the Unicode characters inside the 'altGlyph' element, then any absolute X coordinates specified via an 'x' attribute on this element or any ancestor 'text' or 'tspan' elements for Unicode characters 2 through n within the 'altGlyph' element are ignored. Any absolute X coordinate specified via an 'x' attribute on this element or any ancestor 'text' or 'tspan' elements for the first Unicode character within the 'altGlyph' element sets a new absolute X coordinate for the current text position before rendering the first alternate glyph."
cursor,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,"The x.coordinate of the position in the cursor's coordinate system which represents the precise position that is being pointed to. If the attribute is not specified, the effect is as if a value of '0' were specified."
filter,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",,<coordinate>,See Filter effects region.
feBlend,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feColorMatrix,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feComponentTransfer,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feComposite,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feConvolveMatrix,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feDiffuseLighting,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feDisplacementMap,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feFlood,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feGaussianBlur,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feImage,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feMerge,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feMorphology,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feOffset,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feSpecularLighting,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feTile,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
feTurbulence,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.
foreignObject,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,"The x.axis coordinate of one corner of the rectangular region into which the graphics associated with the contents of the 'foreignObject' will be rendered. If the attribute is not specified, the effect is as if a value of '0' were specified."
glyphRef,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",no.,<number>,"This value represents the new absolute X coordinate within the font's coordinate system for this glyph. The font coordinate system is based on the em square model described in the Fonts chapter of CSS2 ([CSS2], chapter 15). If the attribute is not specified, for the first 'glyphRef' child element, the effect is as if the attribute were set to ""0"", whereas for subsequent 'glyphRef' child elements, the effect is as if the attribute were set to the end X coordinate from the previous 'glyphRef' element."
image,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,"The x.axis coordinate of one corner of the rectangular region into which the referenced document is placed. If the attribute is not specified, the effect is as if a value of '0' were specified."
mask,xy,x|y,"xy =v is equivalent to  x=v[1], y=v[2]",yes.,<coordinate>,"The x.axis coordinate of one corner of the rectangle for the largest possible offscreen buffer. Note that the clipping path used to render any graphics within the mask will consist of the intersection of the current clipping path associated with the given object and the rectangle defined by 'x', 'y', 'width' and 'height'. If the attribute is not specified, the effect is as if a value of '.10' were specified."
